location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Life Expectancy (years) - Men,Life Expectancy (years) - Women,Happiness Score,Fertility Rate (births per woman)
Guinea,32448.0,391.0,2341.236,28.212,1.29,,,,,,,,,,,,,2952253.0,2026767.0,925486.0,,21.3,14.62,6.68,,68.13,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,,63.2,67.5,4.064,5.5
Guinea-Bissau,6484.0,149.0,3079.437,70.764,1.39,,,,,,,,,,,,,413938.0,390794.0,23144.0,,19.66,18.56,1.1,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,,61.0,66.4,3.652,5.5
Guyana,39238.0,1051.0,48518.227,1299.573,1.69,,,,,,,,,38548.0,47.911,0.2649,55.2,715724.0,410499.0,294160.0,11065.0,88.5,50.76,36.37,1.37,73.25,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,,67.6,72.9,4.654,2.5
Haiti,26169.0,773.0,2258.869,66.724,1.39,,,,,,,,,,,,,197175.0,123936.0,73580.0,,1.7,1.07,0.64,,64.81,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,,63.5,70.0,3.766,3.2
Honduras,379542.0,10434.0,36379.485,1000.109,1.08,,,,,,,,,,,,,9589064.0,4915362.0,4296605.0,377472.0,91.91,47.11,41.18,3.62,93.52,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,,72.3,77.6,5.821,2.5
Hungary,1256415.0,39186.0,126053.645,3931.454,1.77,,,,,,,,,8718519.0,897.911,0.2688,217.9,15074636.0,6266064.0,5981569.0,3176553.0,151.24,62.87,60.01,31.87,79.63,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,35394.3,13.64,74.98,3645.2202,74.8,80.2,5.958,1.5
Iceland,28286.0,36.0,75853.506,96.54,1.7,,,,,,,28.0,74.419,846941.0,2286.959,,,716926.0,288241.0,283920.0,200913.0,192.26,77.3,76.14,53.88,65.74,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,57.4,1.47,47.21,154.99355,81.8,84.8,7.594,1.9
India,34838804.0,481080.0,24583.308,339.465,2.1,,,,,,,,,677878255.0,481.597,0.2268,193.8,1448865422.0,845640601.0,603224821.0,,102.24,59.67,42.57,,81.94,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,,68.5,70.7,4.527,2.4
Indonesia,4262720.0,144094.0,15472.592,523.025,1.42,,,,,,,,,42486162.0,155.199,0.3054,1125.7,274749184.0,161082857.0,113666327.0,,99.73,58.47,41.26,,73.66,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,,70.3,74.3,5.135,2.2
Iran,6192698.0,131572.0,69934.029,1485.84,1.6,,,,,,,,,41982912.0,477.494,0.5375,55.2,116210697.0,59498870.0,51194091.0,3772199.0,131.24,67.19,57.81,4.26,83.33,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,251753.06,34.25,158.99,2863.3215,74.9,78.8,4.707,1.8
Iraq,2093436.0,24154.0,47047.604,542.834,1.44,,,,,,,,,16789447.0,385.666,0.2474,53.5,14140578.0,8482581.0,5639110.0,,31.78,19.06,12.67,,84.26,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,,72.3,77.0,4.739,3.9
Ireland,752431.0,6091.0,149793.912,1212.596,1.99,216.0,43.001,1941.0,386.414,143.0,28.458,1307.0,260.276,10025882.0,2010.595,0.43,50.0,9855169.0,3934586.0,3882699.0,2279053.0,196.2,78.33,77.3,45.37,87.96,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,3921.8994,6.46,35.71,786.4995,81.1,84.2,6.977,1.9
Israel,1381938.0,8259.0,146252.302,874.061,2.25,420.0,44.449,2480.0,262.462,202.0,21.378,1985.0,210.075,33793776.0,3637.259,0.096,1000.0,16786452.0,6581194.0,5942734.0,4262524.0,177.65,69.65,62.89,45.11,87.04,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,7192.8994,8.3,33.6,808.1858,82.5,84.6,7.488,2.5
Italy,5981428.0,137247.0,101315.788,2324.744,1.97,3743.0,63.4,33080.0,560.322,1892.0,32.047,13164.0,222.977,140137606.0,2365.578,0.1347,266.9,111379184.0,48450693.0,44729423.0,19703317.0,188.66,82.07,75.76,33.37,83.33,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,167105.89,15.58,26.21,2820.8127,82.7,87.0,6.442,1.3
Jamaica,93591.0,2470.0,33101.647,873.6,2.04,,,,,,,,,709092.0,250.767,0.4219,50.2,1208785.0,712466.0,566887.0,4834.0,42.75,25.2,20.05,0.17,86.11,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,5134.8,14.56,130.86,1815.8921,74.1,78.2,5.897,2.3
Japan,1733788.0,18393.0,13987.61,148.388,1.84,3034.0,24.477,24320.0,196.205,,,,,27993035.0,224.641,0.207,510.0,201971478.0,101215832.0,99712082.0,1043564.0,162.94,81.66,80.44,0.84,55.09,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,-13147.397,-0.46,4.57,-105.506226,84.0,89.5,6.444,1.4
Jordan,1061560.0,12620.0,94060.939,1118.212,1.35,,,,,,,,,13243053.0,1187.901,0.2179,186.0,8265793.0,4331942.0,3933851.0,,73.24,38.38,34.86,,81.48,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,15042.399,28.37,121.93,1349.3013,74.6,78.6,5.081,3.2
Kazakhstan,1072037.0,18227.0,55265.342,939.633,1.4,,,,,,,,,11965068.0,623.295,0.0589,46.9,17501273.0,8986163.0,8515110.0,,90.22,46.33,43.9,,79.17,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,80686.41,30.47,129.66,4203.1904,71.5,77.3,5.766,2.3
Kenya,292237.0,5376.0,5409.043,99.505,2.87,,,,,,,,,2908081.0,54.864,0.3541,157.7,10002184.0,5930258.0,4155832.0,5280.0,18.51,10.98,7.69,0.01,74.07,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,,66.0,72.3,4.471,4.3
Kiribati,,,,,,,,,,,,,,,,,,82167.0,59492.0,22675.0,,62.61,45.33,17.28,,56.94,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,68.5,73.2,4.934,3.5
Kosovo,161399.0,2980.0,90565.985,1672.17,2.21,,,,,,,,,1382762.0,775.911,0.2068,595.3,1673578.0,883919.0,782696.0,7886.0,93.91,49.6,43.92,0.44,75.0,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,6396.4,36.91,96.54,3848.5652,74.4,80.4,5.362,1.6
Kuwait,416631.0,2468.0,97597.125,578.137,1.91,,,,,,,,,5966736.0,1403.9,0.1657,924.9,6942690.0,3334421.0,3216700.0,380911.0,162.63,78.11,75.35,8.92,81.48,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,6626.4004,52.26,143.01,1559.1123,78.1,82.0,6.107,2.3
Laos,111060.0,372.0,14750.028,49.406,2.19,,,,,,,,,849190.0,114.368,0.3356,309.6,5830021.0,3744740.0,3099003.0,,77.43,49.73,41.16,,86.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,,67.5,73.3,4.811,2.6
Latvia,276674.0,4570.0,149500.663,2469.397,1.4,238.0,128.603,,,416.0,224.976,1191.0,643.474,5556489.0,2965.17,0.1383,199.8,2555555.0,1314123.0,1262507.0,258489.0,138.09,71.01,68.22,13.97,67.59,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,7187.201,12.86,79.74,3835.3708,74.8,81.3,6.646,1.4
Lebanon,723640.0,9102.0,131816.711,1658.001,1.34,,,,,,,,,4731376.0,846.002,,,4379487.0,2252750.0,1831322.0,295415.0,79.78,41.04,33.36,5.38,92.59,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,15149.599,31.27,86.62,2708.8525,76.5,80.8,5.466,1.7
Lesotho,29652.0,671.0,12859.6,291.002,1.32,,,,,,,,,,,,,857925.0,782175.0,727528.0,,37.21,33.92,31.55,,85.19,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,,60.6,66.7,3.971,3.4
Liberia,6584.0,287.0,1241.634,54.123,1.74,,,,,,,,,,,,,880313.0,784838.0,755263.0,,16.6,14.8,14.24,,55.56,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,,64.0,69.3,3.979,5.4
Libya,388183.0,5696.0,56982.296,836.129,1.61,,,,,,,,,,,,,2679874.0,1854197.0,825677.0,,39.34,27.22,12.12,,87.96,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,,74.4,79.4,6.342,2.8
Lithuania,524426.0,7396.0,190696.342,2689.398,1.65,161.0,58.544,2571.0,934.889,129.0,47.042,,,6905982.0,2478.237,0.24,250.0,4131875.0,1917809.0,1832178.0,652045.0,150.25,69.74,66.62,23.71,79.63,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,16552.8,22.29,73.4,5940.0317,74.3,80.8,6.643,1.8
Luxembourg,102487.0,915.0,158256.396,1412.907,1.88,38.0,58.678,145.0,223.903,24.0,37.186,109.0,168.888,3823304.0,5980.257,0.242,500.0,1076484.0,464399.0,37868.0,208928.0,166.23,71.71,5.85,32.26,67.59,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,133.7,2.88,37.64,209.12517,82.5,86.5,7.143,1.6
Madagascar,50279.0,1027.0,1697.943,34.682,1.1,,,,,,,,,331121.0,11.451,0.3842,858.1,742069.0,589003.0,541160.0,,2.51,1.99,1.83,,82.41,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,,67.5,73.5,4.525,4.1
Malawi,74201.0,2355.0,3636.356,115.411,2.53,,,,,,,,,309766.0,15.574,0.7944,612.8,1800908.0,1492675.0,705769.0,,8.83,7.32,3.46,,51.85,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,,64.1,68.2,3.973,5.4
Malaysia,2758086.0,31487.0,81267.855,927.774,1.27,1593.0,46.938,14753.0,434.702,,,16562.0,488.004,41845740.0,1246.378,0.1526,43.2,57854193.0,26038354.0,25667317.0,6349060.0,170.47,76.72,75.63,18.71,91.67,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,26278.799,7.2,73.96,782.71576,74.4,78.4,6.141,2.1
Maldives,95700.0,262.0,182704.019,500.193,1.5,,,,,,,,,1870329.0,3586.73,0.3134,81.4,790154.0,396779.0,367450.0,25925.0,150.85,75.75,70.15,4.95,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,578.3999,26.18,108.68,1109.1741,74.4,78.2,5.248,2.3
Mali,20670.0,658.0,914.861,29.123,1.53,,,,,,,,,,,,,1057653.0,877525.0,392809.0,,4.68,3.88,1.74,,50.93,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,,60.5,66.5,4.354,6.2
Malta,52470.0,477.0,98388.691,894.443,3.62,27.0,50.629,,,14.0,26.873,70.0,130.525,1548862.0,2940.423,0.1543,1677.0,1072274.0,444615.0,435874.0,,201.07,83.37,81.73,,75.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,517.10004,7.04,43.51,981.67834,82.0,85.5,6.441,1.3
Marshall Islands,4.0,,96.17,,,,,,,,,,,3184.0,75.719,0.0,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,,66.9,72.0,5.253,3.3
Mauritania,41154.0,863.0,8689.344,182.216,2.4,,,,,,,,,254282.0,55.099,0.1813,162.4,1937226.0,1166230.0,767082.0,,40.9,24.62,16.2,,59.26,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,,66.8,71.9,4.532,4.8
Mauritius,91094.0,786.0,70100.456,604.858,1.56,,,,,,,,,,,,,2036896.0,937052.0,909900.0,,156.75,72.11,70.02,,97.22,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,1097.6001,4.72,89.84,845.0085,73.5,78.8,5.974,1.7
Mexico,4034822.0,303822.0,31644.64,2382.841,1.55,,,,,,,,,12043531.0,95.052,0.434,6.4,148814260.0,81916007.0,72780356.0,,116.71,64.25,57.08,,71.76,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,634988.44,50.61,168.45,5011.5444,76.3,81.3,6.578,2.2
Moldova,375780.0,10269.0,114812.345,3137.495,1.31,,,,,,,,,,,0.3568,109.7,1776513.0,989897.0,982152.0,,54.28,30.24,30.01,,73.15,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,15701.999,22.66,64.34,5128.843,74.0,79.5,5.936,1.5
Mongolia,693119.0,1986.0,203956.128,584.397,1.48,,,,,,,,,6392729.0,1909.542,0.9912,1378.9,5340605.0,2265984.0,2163572.0,911049.0,157.15,66.68,63.66,26.81,96.3,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,723.7997,2.06,54.44,216.20276,71.1,76.8,5.225,1.9
Montenegro,168338.0,2401.0,268446.551,3828.845,2.33,,,,,,,,,,,,,634517.0,283884.0,272853.0,77780.0,101.19,45.27,43.51,12.4,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,2982.8994,22.67,86.05,4750.929,76.4,80.5,5.679,1.5
Morocco,961058.0,14844.0,25656.966,396.284,2.27,,,,,,,,,9881067.0,266.504,0.2382,112.4,50265580.0,24630172.0,22994609.0,,134.19,65.75,61.39,,76.85,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,,74.4,79.4,5.253,2.3
Mozambique,184219.0,1996.0,5587.555,60.541,2.62,,,,,,,,,1067326.0,33.274,0.6374,376.5,14718782.0,8633965.0,6084817.0,,44.64,26.19,18.46,,63.89,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,,66.7,71.5,4.325,5.2
Myanmar,530834.0,19268.0,9797.725,355.634,1.82,,,,,,,,,4791847.0,89.071,0.3826,211.3,31859036.0,18829259.0,13029777.0,,58.8,34.75,24.05,,90.74,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,,67.0,72.3,4.768,2.4
Namibia,148839.0,3645.0,57981.149,1419.932,1.53,,,,,,,,,872058.0,344.666,0.5086,275.2,630212.0,346454.0,283758.0,,24.55,13.5,11.05,,87.04,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,,,,,66.1,72.1,4.931,2.9
Nepal,828431.0,11594.0,27119.361,379.539,2.19,,,,,,,,,5673353.0,188.891,0.463,52.6,21988516.0,12251183.0,9737333.0,,71.98,40.11,31.88,,97.22,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,,70.6,75.6,4.643,2.3
Netherlands,3114894.0,20885.0,177345.164,1189.079,2.8,769.0,43.783,1918.0,109.201,375.0,21.35,2184.0,124.345,22108497.0,1263.22,0.297,32.3,28509960.0,12616978.0,11782302.0,4861661.0,162.32,71.83,67.08,27.68,82.41,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,28118.197,9.37,45.74,1606.5984,82.0,85.0,7.488,1.7
New Zealand,13746.0,51.0,2650.961,9.836,2.14,,,,,,,,,5577146.0,1087.221,,,8185415.0,3971259.0,3856161.0,357995.0,157.86,76.59,74.37,6.9,96.3,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,-2072.6,-3.92,10.76,-404.03687,81.5,85.0,7.286,2.1
Nicaragua,13563.0,217.0,1951.962,31.23,1.35,,,,,,,,,,,,,7785141.0,4879356.0,2905785.0,,112.04,70.22,41.82,,13.89,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,17417.799,36.93,182.28,2542.5417,73.6,78.3,5.562,2.3
Niger,7365.0,274.0,281.021,10.455,1.25,,,,,,,,,,,,,971636.0,507223.0,464413.0,,3.71,1.94,1.77,,27.78,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,,62.7,68.3,4.348,7.6
Nigeria,241513.0,3030.0,1105.114,13.865,1.36,,,,,,,,,3823309.0,17.916,0.246,403.3,14838199.0,10310476.0,4482899.0,,6.79,4.72,2.05,,58.33,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,,52.9,55.6,3.357,5.7
Norway,394909.0,1394.0,72669.388,256.518,1.45,,,383.0,70.478,72.0,13.169,257.0,47.298,9256717.0,1713.248,0.27,111.1,9789464.0,4292402.0,3929338.0,1567724.0,180.14,78.99,72.31,28.85,73.15,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,1155.8999,1.43,27.44,213.93585,82.2,86.1,7.594,1.8
Oman,305489.0,4483.0,66754.583,979.612,2.04,,,,,,,,,,,,,6118018.0,3121894.0,2902254.0,32412.0,133.69,68.22,63.42,0.71,84.26,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,4533.0,28.99,132.68,1002.77094,76.4,81.0,6.306,2.5
Pakistan,1294861.0,28921.0,5490.774,122.638,1.44,,,,,,,,,23372405.0,101.003,0.1059,174.9,156623021.0,96980678.0,70576467.0,,66.41,41.12,29.93,,78.24,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,,66.5,72.0,5.194,3.3
Palau,12.0,,663.57,,,,,,,,,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,,74.4,80.1,5.995,2.5
Panama,491043.0,7425.0,111383.433,1684.215,1.71,,,,,,,,,4506267.0,1035.622,0.2813,45.9,6193744.0,3120802.0,2804103.0,268839.0,140.49,70.79,63.61,6.1,89.81,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,7525.8994,24.63,86.76,1729.5892,78.2,82.8,6.701,2.2
Papua New Guinea,36190.0,590.0,3568.11,58.17,1.41,,,,,,,,,,,,,504018.0,283915.0,220103.0,,4.97,2.8,2.17,,74.88,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,,63.5,67.7,4.739,3.9
Paraguay,466101.0,16624.0,68738.907,2451.648,1.2,,,,,,,,,2048822.0,305.621,0.4567,95.5,6833614.0,3469821.0,2948027.0,415766.0,100.78,51.17,43.48,6.13,76.85,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,22021.602,36.84,154.36,3284.9421,75.0,81.2,5.841,2.4
Peru,2287494.0,202584.0,67181.253,5949.676,1.5,,,,,,,,,21790289.0,646.299,0.177,47.6,51093788.0,24839409.0,22086000.0,4168379.0,150.06,72.95,64.86,12.24,75.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,181545.02,76.55,210.79,5384.6216,74.9,81.3,6.139,2.2
Philippines,2843869.0,51504.0,24609.67,445.694,4.22,,,,,,,,,23778192.0,208.8,0.2753,335.5,108534301.0,56110301.0,49626439.0,1786975.0,93.92,48.56,42.94,1.55,81.02,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,230404.61,19.32,123.25,2023.2168,72.0,77.1,5.199,2.8
Poland,4109201.0,97058.0,103098.23,2435.147,1.64,,,34864.0,874.724,,,,,27906302.0,728.477,0.3369,510.3,46987401.0,21673668.0,21046400.0,6865164.0,117.89,54.38,52.8,17.22,80.56,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,153806.5,18.38,67.9,4015.026,77.1,82.9,6.442,1.3
Portugal,1356390.0,18937.0,132062.008,1843.76,1.57,904.0,88.016,6869.0,668.785,,,,,26804825.0,2604.913,0.2036,151.8,19964814.0,9392871.0,8534163.0,3136652.0,194.38,91.45,83.09,30.54,87.96,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,20808.002,14.14,72.3,2022.1362,82.0,85.5,6.346,1.3
Qatar,249787.0,617.0,92680.838,228.931,2.12,,,,,,,,,4163972.0,1548.961,,,5205664.0,2360308.0,2218292.0,,193.15,87.58,82.31,,87.96,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,920.6,23.64,115.97,342.45465,78.1,82.5,6.42,2.3
Singapore,279405.0,828.0,49566.065,146.886,2.22,,,,,,,,,,,,,11795254.0,4859718.0,4684521.0,2201705.0,209.25,86.21,83.1,39.06,58.33,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,1838.0,4.13,31.92,309.37225,82.5,85.9,6.71,1.2
United Arab Emirates,759511.0,2162.0,80446.976,228.998,2.7,,,,,,,,,111667119.0,11923.695,0.0238,5042.1,22406584.0,9881456.0,9059559.0,3456677.0,237.33,104.66,95.96,36.61,62.04,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,,,,,76.3,80.6,6.39,2.6
United Kingdom,13441675.0,176813.0,199109.567,2619.105,1.41,4077.0,60.392,39258.0,581.523,,,29649.0,439.186,393314236.0,5845.841,0.1311,514.8,133312817.0,51786768.0,47434251.0,34091798.0,197.47,76.71,70.26,50.5,87.96,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,136447.2,15.77,46.09,2028.0187,79.0,83.0,6.72,1.7
United States,53534286.0,819055.0,158249.753,2421.163,1.68,28891.0,85.403,133263.0,393.931,,,117659.0,347.805,726359152.0,2155.384,0.26,58.8,521797692.0,244104717.0,210360591.0,77816104.0,157.16,73.52,63.36,23.44,71.76,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,956015.6,17.14,40.11,2836.8616,76.1,81.1,6.94,1.7
