location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,158059.0,7356.0,3843.027,178.853,1.39,,,,,,,,,,,,,4674518.0,4142857.0,3753224.0,,11.37,10.07,9.13,,56.02,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772.0,,,,
Africa,9850360.0,228878.0,6904.119,160.421,,,,,,,,,,,,,,303508220.0,193644216.0,124750456.0,892142.0,21.27,13.57,8.74,0.06,,,,,,,,,,,,,,,,1426736614.0,,,,
Albania,208899.0,3212.0,73495.999,1130.064,1.86,,,,,,,,,1423366.0,498.603,0.4156,1067.6,2316606.0,1141486.0,1031132.0,143988.0,81.5,40.16,36.28,5.07,63.89,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318.0,14654.999,34.73,92.8,5133.621
Algeria,218037.0,6271.0,4855.709,139.656,1.38,52.0,1.158,,,,,,,,,,,12545356.0,7060737.0,5609040.0,25381.0,27.94,15.72,12.49,0.06,85.19,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,,,,
American Samoa,11.0,,248.335,,,,,,,,,,,,,,,,,,,,,,,,278.205,,,,,,283.75,,,,,,73.74,,44295.0,,,,
Andorra,23122.0,140.0,289593.327,1753.441,1.63,,,,,,,,,266810.0,3375.889,0.2835,156.5,117246.0,57085.0,51392.0,8769.0,146.85,71.5,64.37,10.98,55.56,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,79843.0,140.20001,29.22,72.69,1773.4042
Angola,76787.0,1757.0,2157.605,49.369,2.94,,,,,,,,,,,,,11615144.0,7685417.0,3929727.0,,32.64,21.59,11.04,,71.59,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996.0,,,,
Anguilla,1674.0,5.0,105435.536,314.921,,,,,,,,,,51382.0,3261.728,0.1615,1181.8,20284.0,10079.0,9223.0,982.0,127.76,63.48,58.09,6.19,,,,,,,,,,,,,,81.88,,15877.0,,,,
Antigua and Barbuda,4295.0,119.0,45802.585,1269.036,1.48,,,,,,,,,16700.0,179.146,0.6099,181.8,121146.0,62283.0,58863.0,,129.19,66.42,62.77,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772.0,-25.600002,-2.29,91.88,-274.59268
Argentina,5780522.0,118176.0,127015.62,2596.686,2.24,7969.0,175.103,,,,,,,28634195.0,632.426,0.319,55.6,78297805.0,38821593.0,30777189.0,6181673.0,172.04,85.3,67.63,13.58,84.26,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,45510324.0,131388.0,22.1,75.38,2901.8843
Armenia,344930.0,7972.0,124054.477,2867.139,1.47,,,,,,,,,2573937.0,922.236,0.214,71.4,1626738.0,934028.0,692082.0,628.0,58.51,33.59,24.89,0.02,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,19881.4,40.01,115.09,7123.4707
Aruba,19021.0,181.0,178669.723,1700.185,,,,,,,,,,793.0,7.443,,,163759.0,84751.0,79008.0,,153.82,79.61,74.21,,67.59,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459.0,352.2,26.65,120.18,3305.7078
Asia,84845091.0,1259185.0,17970.388,266.698,,,,,,,,,,,,,,6219611612.0,3114466115.0,2649550680.0,207409465.0,131.73,65.97,56.12,4.39,,,,,,,,,,,,,,,,4721383370.0,,,,
Australia,366607.0,2443.0,14004.709,93.325,2.21,312.0,11.919,1605.0,61.312,,,,,54958964.0,2120.241,0.0745,15559.8,42580539.0,20444346.0,19755837.0,2380356.0,162.66,78.1,75.47,9.09,78.24,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,26177410.0,682.90027,0.21,9.86,26.345348
Austria,1264529.0,16698.0,141452.257,1867.865,1.5,664.0,74.276,3415.0,382.007,,,,,123579209.0,13850.938,0.0306,4144.1,16677329.0,6707207.0,6314990.0,3992811.0,186.56,75.03,70.64,44.66,82.41,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,8939617.0,14493.599,8.85,40.03,1624.463
Azerbaijan,616352.0,8346.0,59504.476,805.748,1.71,,,,,,,,,5863885.0,568.592,0.2695,206.1,11346166.0,5169382.0,4676520.0,1500264.0,109.54,49.91,45.15,14.48,89.81,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,10358078.0,36796.594,32.42,79.24,3567.9844
Bahamas,24476.0,717.0,59699.163,1748.827,1.52,,,,,,,,,185443.0,454.622,0.2593,67.9,300214.0,157041.0,147365.0,6954.0,73.22,38.3,35.94,1.7,74.54,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,409989.0,1073.0001,20.15,114.29,2630.418
Bahrain,281406.0,1394.0,191141.779,946.858,2.06,,,,,,,,,8005638.0,5471.079,0.151,915.9,3226201.0,1203146.0,1177993.0,845062.0,219.14,81.72,80.01,57.4,66.67,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,1472237.0,,,,
Bangladesh,1585539.0,28072.0,9262.063,163.985,1.69,,,,,,,,,11492843.0,67.862,0.3108,95.2,106575146.0,65835395.0,40739751.0,,62.26,38.46,23.8,,93.52,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,171186368.0,,,,
Barbados,28310.0,260.0,100516.251,923.145,1.52,,,,,,,,,,,,,299629.0,155952.0,143677.0,,106.38,55.37,51.01,,74.07,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,281646.0,-97.2,-1.7,40.24,-345.65652
Belarus,697600.0,5561.0,73162.372,583.222,1.17,,,,,,,,,11022249.0,1150.768,0.1221,24.1,7708200.0,4356041.0,3228165.0,114146.0,80.84,45.68,33.86,1.2,43.52,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,9534956.0,31222.4,21.84,39.9,3259.745
Belgium,2096712.0,28356.0,179883.824,2432.755,1.52,947.0,81.246,3750.0,321.725,,,2257.0,193.635,27361349.0,2356.417,0.175,100.0,21732553.0,8942495.0,8832279.0,4386406.0,186.45,76.72,75.78,37.63,75.93,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923.0,20213.0,15.55,30.07,1740.7869
Belize,32067.0,597.0,79122.099,1473.037,1.65,,,,,,,,,363915.0,909.717,0.2316,215.9,424634.0,230125.0,199119.0,,104.77,56.78,49.13,,75.93,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,405285.0,544.4,13.89,82.98,1360.8741
Benin,25044.0,161.0,1875.553,12.057,0.86,,,,,,,,,,,,,1773592.0,1699784.0,1319264.0,,13.28,12.73,9.88,,50.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,13352864.0,,,,
Bermuda,6331.0,106.0,98602.956,1650.91,,,,,,,,,,,,,,112695.0,46194.0,45213.0,20267.0,175.52,71.95,70.42,31.57,79.63,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,64207.0,176.20001,15.79,136.71,2743.993
Bhutan,2660.0,3.0,3399.548,3.834,1.4,,,,,,,,,1288876.0,1657.748,0.0082,18720.3,1154843.0,589762.0,565081.0,,147.59,75.37,72.22,,81.94,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,782457.0,-119.399994,-1.99,24.41,-153.56912
Bolivia,591773.0,19650.0,48410.298,1607.478,1.48,235.0,19.224,2433.0,199.033,,,,,3076104.0,254.656,0.4346,18.3,9792844.0,5635100.0,4593214.0,548041.0,80.11,46.1,37.58,4.48,56.48,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,12224114.0,53088.004,56.24,127.27,4394.8936
Bonaire Sint Eustatius and Saba,3239.0,22.0,119732.367,813.249,,,,,,,,,,,,,,35845.0,19109.0,16736.0,,132.5,70.64,61.87,,,,,,,,,,,,,,,77.79,,27052.0,,,,
Bosnia and Herzegovina,290471.0,13428.0,89830.928,4152.737,1.74,,,,,,,,,1483234.0,453.458,0.7422,612.7,1553874.0,882641.0,720631.0,22572.0,48.06,27.3,22.29,0.7,45.37,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,3233530.0,19123.201,26.49,102.26,5846.379
Botswana,222053.0,2452.0,84421.169,932.213,1.43,,,,,,,,,2026898.0,783.063,0.8899,125.6,1128095.0,1169197.0,1033971.0,,42.89,44.45,39.31,,73.15,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300.0,,,,
Brazil,22263834.0,618817.0,103401.94,2874.028,1.48,,,,,,,,,66100617.0,308.411,,,331273910.0,166195505.0,143436012.0,26571077.0,153.86,77.19,66.62,12.34,76.39,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,215313504.0,666455.6,27.07,83.18,3109.5383
British Virgin Islands,3256.0,39.0,103919.316,1244.734,,,,,,,,,,,,,,35799.0,18432.0,17005.0,,114.26,58.83,54.27,,,207.973,,,,,,,13.67,,,,,79.07,,31332.0,,,,
Brunei,15474.0,61.0,34463.098,135.857,1.57,,,,,,,,,93192.0,209.245,,,898401.0,405888.0,400691.0,,200.09,90.4,89.24,,76.85,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,449002.0,39.800003,1.11,128.97,89.361496
Bulgaria,744298.0,30890.0,109746.821,4554.734,1.69,799.0,117.813,10355.0,1526.846,,,,,7419396.0,1077.482,0.236,231.1,3700660.0,1904143.0,1914910.0,275053.0,54.57,28.08,28.24,4.06,62.96,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,6781955.0,56731.0,26.42,102.21,8238.763
Burkina Faso,17632.0,318.0,777.639,14.025,1.23,,,,,,,,,,,,,1053330.0,972376.0,649320.0,,4.65,4.29,2.86,,30.56,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,22673764.0,,,,
Burundi,30550.0,14.0,2370.131,1.086,1.21,,,,,,,,,,,,,7543.0,4010.0,3533.0,,0.06,0.03,0.03,,27.31,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,12889583.0,,,,
Cambodia,120493.0,3012.0,7185.954,179.629,1.96,,,,,,,,,2289480.0,138.012,0.2509,728.7,30456720.0,14262170.0,13659518.0,3588183.0,181.64,85.06,81.46,21.4,83.8,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,16767851.0,,,,
Cameroon,109666.0,1853.0,3928.633,66.381,0.65,,,,,,,,,,,,,1020007.0,834112.0,659641.0,,3.65,2.99,2.36,,41.67,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,27914542.0,,,,
Canada,2102470.0,29958.0,54674.47,779.054,1.67,1387.0,36.069,4930.0,128.204,,,,,52662229.0,1380.218,0.2292,182.0,68836546.0,31746146.0,29437317.0,7653083.0,179.01,82.56,76.55,19.9,75.46,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,38454328.0,24567.2,4.42,15.01,643.87866
Cape Verde,40738.0,352.0,68679.383,593.43,2.95,,,,,,,,,,,,,571130.0,302802.0,255954.0,,96.29,51.05,43.15,,73.3,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,593162.0,569.80005,10.91,48.25,969.1532
Cayman Islands,8818.0,11.0,128314.077,160.065,,,,,,,,,,,,,,130608.0,58591.0,56891.0,,190.05,85.26,82.78,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
Central African Republic,12454.0,101.0,2232.24,18.103,1.18,,,,,,,,,,,,,436772.0,375096.0,334906.0,,7.83,6.72,6.0,,24.07,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
Chad,5701.0,181.0,321.667,10.213,1.28,,,,,,,,,,,,,285922.0,205259.0,80663.0,,1.61,1.16,0.46,,77.31,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
Chile,1804682.0,39096.0,92058.065,1994.314,1.35,3406.0,173.742,,,1701.0,86.769,4486.0,228.834,27121207.0,1391.317,0.1224,119.9,44314172.0,17307888.0,16547811.0,11032389.0,226.05,88.29,84.41,56.28,84.72,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,37974.297,18.95,44.18,1948.0808
China,132071.0,5699.0,92.624,3.997,1.58,,,,,,,,,,,0.0,1023631.9,2835332000.0,1259967000.0,1207413000.0,120580000.0,198.85,88.36,84.68,8.46,79.17,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
Colombia,5138603.0,129866.0,99059.263,2503.488,2.01,,,,,,,,,29564153.0,573.877,0.341,27.0,64690489.0,38353097.0,28323837.0,3324832.0,124.71,73.94,54.6,6.41,81.02,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,163914.56,38.4,113.48,3181.784
Comoros,6515.0,157.0,7785.77,187.623,1.11,,,,,,,,,,,,,581547.0,335408.0,246139.0,,69.5,40.08,29.41,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
Congo,21277.0,369.0,3563.73,61.805,0.87,,,,,,,,,,,,,758891.0,622886.0,135954.0,,12.71,10.43,2.28,,57.41,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
Cook Islands,,,,,,,,,,,,,,,,,,25339.0,12841.0,12498.0,,148.77,75.39,73.38,,,,,,,,,,,,,,,76.25,,17032.0,,,,
Costa Rica,570960.0,7354.0,110206.152,1419.462,1.35,,,,,,,,,2266262.0,439.713,0.329,55.6,7756348.0,3944932.0,3505176.0,306240.0,149.71,76.14,67.66,5.91,66.67,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,5981.4004,12.48,48.88,1160.5448
Cote d'Ivoire,68146.0,712.0,2419.91,25.284,2.25,,,,,,,,,1233370.0,44.885,0.2794,221.2,7113233.0,4950775.0,2162458.0,,25.26,17.58,7.68,,25.93,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
Croatia,709678.0,12493.0,176082.986,3099.722,1.47,,,2729.0,677.111,,,1871.0,464.28,3757416.0,925.441,0.4708,56.9,4729751.0,2259393.0,1953540.0,,117.35,56.06,48.47,,62.04,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,16540.4,16.13,84.89,4073.8508
Cuba,965571.0,8322.0,86117.905,742.227,2.24,,,,,,,,,5296762.0,470.557,0.0879,82.5,30874045.0,10448955.0,9672464.0,2174094.0,275.36,93.19,86.27,19.39,81.48,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,53645.6,25.52,194.86,4765.7983
Curacao,20199.0,187.0,105658.226,978.172,,,,,,,,,,1342.0,7.051,1.0,1.7,217092.0,104386.0,96611.0,16095.0,113.56,54.6,50.54,8.42,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
Cyprus,161779.0,646.0,180555.509,720.977,1.73,57.0,63.616,301.0,335.935,28.0,30.949,245.0,273.017,19402172.0,21654.041,0.0558,790.4,1541159.0,640890.0,607884.0,268304.0,172.0,71.53,67.84,29.94,84.26,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,1211.2,9.71,57.8,973.48236
Czechia,2517358.0,36332.0,239885.687,3462.172,1.68,1896.0,180.675,9552.0,910.235,757.0,72.137,7294.0,695.065,47161361.0,4486.964,0.223,1000.0,15492044.0,6827629.0,6658951.0,2409312.0,147.63,65.06,63.45,22.96,81.48,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,41137.2,21.61,63.21,3913.8223
Democratic Republic of Congo,79273.0,1225.0,800.655,12.372,1.21,,,,,,,,,,,,,333589.0,257013.0,117844.0,,0.34,0.26,0.12,,52.78,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
Denmark,783702.0,3256.0,133231.468,553.529,1.42,141.0,23.97,964.0,163.883,,,1062.0,180.543,53569800.0,9150.599,0.1133,424.5,11949786.0,4718366.0,4532089.0,2744398.0,203.15,80.21,77.05,46.66,70.37,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,801.2998,0.73,17.33,136.87498
Djibouti,13632.0,189.0,12162.187,168.622,1.99,,,,,,,,,,,,,64721.0,38634.0,26087.0,,5.77,3.45,2.33,,49.07,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
Dominica,6814.0,47.0,93652.932,645.977,1.08,,,,,,,,,,,,,57044.0,29426.0,27618.0,,78.4,40.44,37.96,,73.24,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
Dominican Republic,417268.0,4246.0,37160.446,378.134,1.62,,,,,,,,,2191882.0,197.149,0.5118,43.2,14086551.0,6938596.0,5699587.0,1448368.0,125.45,61.79,50.76,12.9,71.3,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,7128.401,8.19,36.03,641.1659
Ecuador,545800.0,33669.0,30320.534,1870.396,1.26,,,,,,,,,2046961.0,115.012,0.411,14.5,27566331.0,14224604.0,12690467.0,1127965.0,153.14,79.02,70.5,6.27,75.46,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,67451.8,56.37,117.54,3789.909
Egypt,384728.0,21727.0,3466.327,195.756,1.43,,,,,,,,,,,,,52819190.0,33098284.0,20627388.0,,47.59,29.82,18.58,,59.26,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,280173.22,25.55,68.85,2564.2285
El Salvador,121741.0,3823.0,19212.981,603.34,1.19,,,,,,,,,1162090.0,184.045,0.136,76.9,9620698.0,4483699.0,4156783.0,980216.0,151.83,70.76,65.6,15.47,47.22,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,,,,
England,,,,,,3736.0,66.065,34336.0,607.179,,,26682.0,471.83,,,,,111916669.0,43513898.0,39817420.0,28585351.0,197.91,76.95,70.41,50.55,,,,,,,,,,,,,,,,56550000.0,,,,
Equatorial Guinea,13710.0,175.0,8185.485,104.483,1.3,,,,,,,,,267432.0,163.62,0.1531,1650.3,452666.0,249276.0,203390.0,,27.03,14.88,12.14,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
Eritrea,7982.0,75.0,2166.643,20.358,1.35,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
Estonia,241810.0,1932.0,182351.681,1456.943,1.43,69.0,52.034,733.0,552.764,57.0,42.799,568.0,427.993,2536827.0,1909.253,0.2208,121.4,1808861.0,842134.0,827644.0,331408.0,136.41,63.51,62.41,24.99,64.7,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,2956.1997,9.47,45.81,2224.8745
Eswatini,65832.0,1299.0,54783.303,1080.987,4.0,,,,,,,,,,,,,399616.0,334088.0,301243.0,,33.25,27.8,25.07,,75.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
Ethiopia,415443.0,6926.0,3367.185,56.136,2.91,,,,,,,,,4112267.0,34.188,0.4357,64.2,10916152.0,9344163.0,,,8.85,7.57,,,51.85,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
Europe,87965180.0,1567787.0,118104.536,2104.955,,,,,,,,,,,,,,1107416977.0,487520926.0,451236010.0,179137188.0,148.68,65.46,60.58,24.05,,,,,,,,,,,,,,,,744807803.0,,,,
European Union,55073543.0,913721.0,122345.741,2029.829,,,,,,,,,,,,,,748273871.0,323557350.0,307682353.0,131329463.0,166.23,71.88,68.35,29.17,,,,,,,,,,,,,,,,450146793.0,,,,
Faeroe Islands,5769.0,14.0,108609.296,263.569,,,,,,,,,,641176.0,12123.279,0.0649,46.6,96235.0,41437.0,40528.0,14270.0,181.18,78.01,76.3,26.87,59.26,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
Falkland Islands,82.0,,21573.27,,,,,,,,,,,,,,,4407.0,2632.0,1775.0,,115.94,69.24,46.7,,,,,,,,,,,,,,,81.44,,3801.0,,,,
Fiji,53891.0,698.0,57961.709,750.724,1.95,,,,,,,,,468972.0,507.211,,,1267045.0,661452.0,605593.0,,136.28,71.14,65.13,,92.18,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,,,,
Finland,263856.0,1705.0,47621.033,307.72,1.57,64.0,11.551,376.0,67.861,,,,,8740885.0,1578.919,0.253,200.0,9616819.0,4275263.0,4085397.0,1132671.0,173.57,77.16,73.73,20.44,52.31,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,2844.9001,2.59,19.67,513.8926
France,9482582.0,120962.0,146728.723,1871.705,1.71,6001.0,88.493,31262.0,461.003,3467.0,51.126,15034.0,221.698,196119209.0,2908.831,0.153,142.9,124246390.0,53230310.0,49647205.0,22448954.0,183.22,78.5,73.21,33.1,75.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,78311.2,7.7,15.92,1213.5355
French Guiana,48399.0,339.0,158910.325,1113.052,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,224.59999,11.52,115.69,755.0544
French Polynesia,46425.0,636.0,151571.05,2076.45,,,,,,,,,,,,,,329095.0,169995.0,159100.0,,107.44,55.5,51.94,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,560.7001,18.78,276.24,1844.1776
