location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,total_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Northern Cyprus,,,,,,,,,,,,,,,,,,617389.0,284357.0,275988.0,80243.0,161.27,74.28,72.09,20.96,,,,,,,,,,,,,,,,382836.0,,,,
Northern Ireland,,,,,,63.0,33.228,1059.0,558.544,,,657.0,346.519,,,,,3520286.0,1399070.0,1296530.0,824686.0,185.67,73.79,68.38,43.5,,,,,,,,,,,,,,,,1896000.0,,,,
Northern Mariana Islands,3255.0,13.0,65659.418,262.234,,,,,,,,,,59110.0,1194.6,0.831,1000.0,,,,,,,,,,119.878,,,,,,194.994,,,,,,76.74,,49574.0,,,,
Norway,394909.0,1394.0,72669.388,256.518,1.45,,,383.0,70.478,72.0,13.169,257.0,47.298,9256717.0,1713.248,0.27,111.1,9789464.0,4292402.0,3929338.0,1567724.0,180.14,78.99,72.31,28.85,73.15,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,1155.8999,1.43,27.44,213.93585
Oceania,548908.0,4989.0,12187.431,110.771,,,,,,,,,,,,,,54154963.0,26305175.0,25111161.0,2738351.0,120.24,58.41,55.75,6.08,,,,,,,,,,,,,,,,45038860.0,,,,
Oman,305489.0,4483.0,66754.583,979.612,2.04,,,,,,,,,,,,,6118018.0,3121894.0,2902254.0,32412.0,133.69,68.22,63.42,0.71,84.26,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,4533.0,28.99,132.68,1002.77094
Pakistan,1294861.0,28921.0,5490.774,122.638,1.44,,,,,,,,,23372405.0,101.003,0.1059,174.9,156623021.0,96980678.0,70576467.0,,66.41,41.12,29.93,,78.24,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
Palau,12.0,,663.57,,,,,,,,,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
Palestine,470303.0,4931.0,89580.227,939.224,1.81,,,,,,,,,,,0.8582,59.9,3383211.0,1910794.0,1515699.0,2779.0,64.44,36.4,28.87,0.05,92.59,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,4737.8003,19.34,67.69,922.9374
Panama,491043.0,7425.0,111383.433,1684.215,1.71,,,,,,,,,4506267.0,1035.622,0.2813,45.9,6193744.0,3120802.0,2804103.0,268839.0,140.49,70.79,63.61,6.1,89.81,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,7525.8994,24.63,86.76,1729.5892
Papua New Guinea,36190.0,590.0,3568.11,58.17,1.41,,,,,,,,,,,,,504018.0,283915.0,220103.0,,4.97,2.8,2.17,,74.88,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
Paraguay,466101.0,16624.0,68738.907,2451.648,1.2,,,,,,,,,2048822.0,305.621,0.4567,95.5,6833614.0,3469821.0,2948027.0,415766.0,100.78,51.17,43.48,6.13,76.85,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,22021.602,36.84,154.36,3284.9421
Peru,2287494.0,202584.0,67181.253,5949.676,1.5,,,,,,,,,21790289.0,646.299,0.177,47.6,51093788.0,24839409.0,22086000.0,4168379.0,150.06,72.95,64.86,12.24,75.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,181545.02,76.55,210.79,5384.6216
Philippines,2843869.0,51504.0,24609.67,445.694,4.22,,,,,,,,,23778192.0,208.8,0.2753,335.5,108534301.0,56110301.0,49626439.0,1786975.0,93.92,48.56,42.94,1.55,81.02,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,230404.61,19.32,123.25,2023.2168
Pitcairn,,,,,,,,,,,,,,,,,,94.0,47.0,47.0,,200.0,100.0,100.0,,,,,,,,,,,,,,,,,47.0,,,,
Poland,4109201.0,97058.0,103098.23,2435.147,1.64,,,34864.0,874.724,,,,,27906302.0,728.477,0.3369,510.3,46987401.0,21673668.0,21046400.0,6865164.0,117.89,54.38,52.8,17.22,80.56,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,153806.5,18.38,67.9,4015.026
Portugal,1356390.0,18937.0,132062.008,1843.76,1.57,904.0,88.016,6869.0,668.785,,,,,26804825.0,2604.913,0.2036,151.8,19964814.0,9392871.0,8534163.0,3136652.0,194.38,91.45,83.09,30.54,87.96,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,20808.002,14.14,72.3,2022.1362
Puerto Rico,317561.0,3319.0,97638.614,1020.473,,,,,,,,,,2244958.0,689.477,0.823,90.9,,,,,,,,,,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,80.1,,3252412.0,4656.299,8.43,29.15,1430.0541
Qatar,249787.0,617.0,92680.838,228.931,2.12,,,,,,,,,4163972.0,1548.961,,,5205664.0,2360308.0,2218292.0,,193.15,87.58,82.31,,87.96,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,920.6,23.64,115.97,342.45465
Reunion,76602.0,409.0,78641.811,419.891,,,,,,,,,,,,,,,,,,,,,,,,36.0,,6.841,,,,,,,,,80.48,,974062.0,280.49997,2.64,43.63,290.33298
Romania,1807223.0,58714.0,91927.269,2986.581,1.63,1902.0,96.748,20951.0,1065.706,,,,,16695984.0,863.799,0.3042,545.3,15824909.0,5474507.0,7817215.0,,80.5,27.85,39.76,,76.85,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,106341.9,20.62,130.11,5501.802
Russia,10499982.0,308860.0,72557.126,2134.289,1.27,,,,,,,,,240477547.0,1657.291,0.0967,40.4,146364014.0,73824201.0,66773441.0,7382067.0,101.14,51.01,46.14,5.1,66.2,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,1076833.1,30.74,84.53,7421.1763
Rwanda,110558.0,1349.0,8024.998,97.919,2.41,,,,,,,,,3989715.0,296.371,0.1257,1175.9,12588963.0,7629877.0,5435180.0,,91.38,55.38,39.45,,76.85,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
Saint Barthelemy,1726.0,4.0,156994.724,363.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10994.0,,,,
Saint Helena,,,,,,,,,,,,,,,,,,7892.0,4361.0,3531.0,,146.12,80.74,65.38,,,,,,,,,,,,,,,80.56,,5401.0,,,,
Saint Kitts and Nevis,2918.0,28.0,61198.381,587.236,2.65,,,,,,,,,58933.0,1237.932,0.2725,112.0,54868.0,27615.0,25619.0,1634.0,115.07,57.92,53.73,3.43,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,105.0,14.46,80.43,2204.4468
Saint Lucia,13473.0,295.0,74903.265,1640.055,1.53,,,,,,,,,,,,,104994.0,55681.0,49313.0,,58.37,30.96,27.42,,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
Saint Martin (French part),4118.0,39.0,129431.732,1225.798,,,,,,,,,,,,,,,,,,,,,,,590.533,,,,,,,,,,,,82.08,,31816.0,,,,
Saint Pierre and Miquelon,98.0,,16652.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
Saint Vincent and the Grenadines,5952.0,83.0,57253.34,798.392,1.48,,,,,,,,,93855.0,899.58,0.3195,22.3,61198.0,33494.0,26244.0,,58.87,32.22,25.24,,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,128.6,6.11,82.54,1232.5092
Samoa,2.0,,8.993,,,,,,,,,,,,,,,263189.0,141424.0,121765.0,,118.35,63.59,54.75,,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
San Marino,8251.0,99.0,244909.469,2938.557,1.54,,,,,,,,,,,,,53942.0,24306.0,21625.0,,160.11,72.15,64.19,,75.93,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,133.8,31.61,63.64,3961.862
Sao Tome and Principe,3877.0,57.0,17049.777,250.667,2.0,,,,,,,,,,,,,137612.0,86396.0,51216.0,,60.52,37.99,22.52,,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
Saudi Arabia,555417.0,8875.0,15255.011,243.76,2.09,,,,,,,,,33310519.0,926.569,0.0179,2337.5,50894142.0,25017090.0,23180879.0,2696173.0,139.79,68.71,63.67,7.41,64.24,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
Scotland,,,,,,161.0,29.455,2053.0,375.595,,,1411.0,258.141,,,,,11392828.0,4383209.0,4017043.0,2992576.0,208.43,80.19,73.49,54.75,,,,,,,,,,,,,,,,5466000.0,,,,
Senegal,74870.0,1890.0,4323.634,109.145,2.13,,,,,,,,,934399.0,55.366,0.3218,725.7,1903098.0,1316401.0,918359.0,,10.99,7.6,5.3,,58.8,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
Serbia,1297147.0,12688.0,188770.738,1846.455,1.56,299.0,43.513,8534.0,1241.933,,,,,7239853.0,1053.599,0.349,100.8,8239799.0,3309157.0,3207534.0,1723108.0,119.91,48.16,46.68,25.08,61.11,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,50745.402,25.12,86.41,6954.501
Seychelles,24788.0,126.0,231371.634,1176.086,1.25,,,,,,,,,,,,,183472.0,82348.0,78263.0,,171.25,76.86,73.05,,84.26,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,-90.100006,-6.1,49.38,-846.12067
Sierra Leone,6983.0,123.0,811.437,14.293,1.86,,,,,,,,,,,,,868726.0,703231.0,361089.0,,10.09,8.17,4.2,,60.19,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
Singapore,279405.0,828.0,49566.065,146.886,2.22,,,,,,,,,,,,,11795254.0,4859718.0,4684521.0,2201705.0,209.25,86.21,83.1,39.06,58.33,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,1838.0,4.13,31.92,309.37225
Sint Maarten (Dutch part),5054.0,75.0,114364.591,1697.14,,,,,,,,,,,,,,52304.0,27141.0,25163.0,,118.36,61.42,56.94,,,1209.088,,,,36327.232,,,,,,,,78.95,,44192.0,,,,
Slovakia,841733.0,16635.0,149152.071,2947.662,1.59,633.0,112.165,3958.0,701.343,151.0,26.68,1438.0,254.843,46426750.0,8522.388,0.172,1000.0,5000849.0,2525330.0,2451335.0,121474.0,88.61,44.75,43.44,2.15,74.07,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,24438.896,22.78,93.02,4486.1597
Slovenia,464121.0,6120.0,218941.214,2887.006,1.48,289.0,136.331,1266.0,597.214,162.0,76.405,756.0,356.4,2081491.0,982.109,0.438,55.6,2761948.0,1250439.0,1188990.0,467389.0,130.29,58.99,56.09,22.05,85.19,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,5032.2,15.49,55.62,2374.3423
Solomon Islands,24.0,,33.137,,,,,,,,,,,,,,,235918.0,179973.0,55945.0,,32.57,24.85,7.72,,38.89,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
Somalia,23532.0,1333.0,1337.235,75.749,1.34,,,,,,,,,,,,,1504914.0,1203131.0,810010.0,,8.55,6.84,4.6,,65.74,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
South Africa,3446532.0,91061.0,57543.972,1520.372,1.69,2495.0,41.657,18034.0,301.099,,,18184.0,303.604,21231024.0,357.471,0.3512,103.8,27903338.0,18905708.0,15833594.0,,46.59,31.57,26.44,,72.22,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,247375.84,25.25,170.71,4165.1196
South America,39873056.0,1192550.0,91280.983,2730.093,,,,,,,,,,,,,,652102111.0,330675359.0,276215725.0,54919880.0,149.29,75.7,63.23,12.57,,,,,,,,,,,,,,,,436816679.0,,,,
South Korea,635250.0,5625.0,12259.772,108.558,1.46,1151.0,22.213,,,649.0,12.525,5724.0,110.468,45323897.0,874.47,0.0269,176.1,103955630.0,43958869.0,42319015.0,18487659.0,200.63,84.84,81.67,35.68,67.59,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,7612.801,1.24,16.39,146.87982
South Sudan,15626.0,136.0,1431.848,12.462,1.59,,,,,,,,,164472.0,15.302,0.3558,3069.9,268640.0,227262.0,181577.0,,2.46,2.08,1.66,,62.96,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
Spain,6505901.0,91688.0,136797.48,1927.894,1.87,4894.0,102.905,27029.0,568.33,2334.0,49.076,22669.0,476.654,73454765.0,1546.842,0.308,50.0,83529796.0,39664717.0,37869504.0,13743032.0,175.64,83.4,79.63,28.9,78.7,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,96592.42,16.4,24.55,2034.0842
Sri Lanka,587245.0,14979.0,26898.175,686.098,1.63,,,,,,,,,6691200.0,307.31,0.2985,55.0,33841264.0,15991500.0,13843044.0,4006720.0,155.01,73.25,63.41,18.35,90.74,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
Sudan,46911.0,3337.0,1000.785,71.191,0.94,,,,,,,,,,,,,3276654.0,2782463.0,1234386.0,,6.99,5.94,2.63,,64.81,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
Suriname,52031.0,1189.0,84186.29,1923.805,2.4,,,,,,,,,55939.0,91.257,0.466,17.9,489798.0,261545.0,228253.0,,79.25,42.32,36.93,,89.81,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,1584.8,20.01,110.94,2585.3645
Sweden,1326172.0,15345.0,125711.264,1454.592,1.57,416.0,39.434,2776.0,263.144,,,,,15158251.0,1448.181,0.2471,155.6,17617810.0,7593376.0,7256183.0,,167.0,71.98,68.78,,71.13,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,9791.5,9.33,30.95,935.4553
Switzerland,1334832.0,11921.0,152718.543,1363.885,1.61,443.0,50.684,2697.0,308.565,,,1141.0,130.542,14378598.0,1654.347,0.291,142.9,13846446.0,5966500.0,,2202912.0,158.42,68.26,,25.2,60.19,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,11293.397,12.89,41.86,1299.3748
Syria,50243.0,2893.0,2270.845,130.756,1.68,,,,,,,,,,,,,1753522.0,1194896.0,781603.0,,7.93,5.4,3.53,,60.65,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
Taiwan,,,,,2.14,,,,,,,,,4968777.0,208.248,0.0288,4738.9,34872136.0,18712858.0,16159278.0,158706.0,145.95,78.32,67.63,0.66,76.85,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,-3424.4006,-0.95,15.29,-143.52113
Tajikistan,17493.0,125.0,1757.598,12.559,2.2,,,,,,,,,,,,,6605225.0,3709690.0,2895535.0,,66.37,37.27,29.09,,48.15,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,16871.7,29.42,127.7,1730.4169
Tanzania,29306.0,737.0,447.435,11.252,0.38,,,,,,,,,,,,,2431769.0,2079930.0,1646261.0,,3.71,3.18,2.51,,38.89,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
Thailand,2223435.0,21698.0,31011.538,302.635,1.91,,,,,,,,,17729894.0,247.62,0.3777,293.9,105160269.0,51410504.0,46319204.0,7430561.0,146.67,71.71,64.6,10.36,75.93,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,63120.0,6.3,35.65,881.55066
Timor,19837.0,122.0,14789.405,90.957,1.58,,,,,,,,,211166.0,159.86,0.3911,1713.3,1195990.0,662963.0,533027.0,,89.17,49.43,39.74,,87.04,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
Togo,30163.0,248.0,3408.749,28.027,2.02,,,,,,,,,617034.0,71.376,0.2567,298.3,2413619.0,1391738.0,1020872.0,,27.28,15.73,11.54,,69.44,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
Tokelau,,,,,,,,,,,,,,,,,,1936.0,968.0,968.0,,102.27,51.14,51.14,,,,,,,,,,,,,,,81.86,,1893.0,,,,
Tonga,1.0,,9.357,,,,,,,,,,,,,,,130236.0,73609.0,56627.0,,121.87,68.88,52.99,,82.87,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
Trinidad and Tobago,90829.0,2825.0,59324.918,1845.147,1.59,,,,,,,,,511257.0,335.105,0.689,166.7,1408384.0,712256.0,668717.0,76184.0,91.99,46.52,43.68,4.98,92.59,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
Tunisia,725842.0,25564.0,58743.54,2068.935,1.65,,,,,,,,,3353887.0,273.498,0.4881,53.0,12156566.0,6889208.0,5921997.0,856236.0,98.39,55.76,47.93,6.93,85.19,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,29906.4,23.32,142.49,2438.761
Turkey,9441764.0,82104.0,110635.41,962.067,1.52,,,,,,,,,118984862.0,1403.53,0.1927,45.6,131646005.0,56914268.0,51604894.0,23126843.0,154.26,66.69,60.47,27.1,80.56,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,181496.4,20.35,46.37,2140.9087
Turkmenistan,,,,,,,,,,,,,,,,,,51746.0,32240.0,19506.0,,0.8,0.5,0.3,,75.0,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100.0,7.4,68.19,0.715,6430777.0,,,,
Turks and Caicos Islands,3283.0,26.0,71797.227,568.604,,,,,,,,,,,,,,56343.0,29210.0,27133.0,,123.22,63.88,59.34,,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
Tuvalu,,,,,,,,,,,,,,,,,,12114.0,6230.0,5884.0,,106.87,54.96,51.91,,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
Uganda,142671.0,3297.0,3019.518,69.778,2.26,,,,,,,,,2160185.0,47.11,0.9704,180.7,9763030.0,8354808.0,1408222.0,,20.66,17.68,2.98,,81.48,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,,,,
Ukraine,3667649.0,95899.0,92380.048,2415.486,1.29,,,,,,,,,16786785.0,385.625,0.5037,22.4,28457565.0,14713309.0,13755421.0,9515.0,71.68,37.06,34.65,0.02,76.39,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744.0,178896.4,15.53,83.82,4109.5923
United Arab Emirates,759511.0,2162.0,80446.976,228.998,2.7,,,,,,,,,111667119.0,11923.695,0.0238,5042.1,22406584.0,9881456.0,9059559.0,3456677.0,237.33,104.66,95.96,36.61,62.04,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138.0,,,,
United Kingdom,13441675.0,176813.0,199109.567,2619.105,1.41,4077.0,60.392,39258.0,581.523,,,29649.0,439.186,393314236.0,5845.841,0.1311,514.8,133312817.0,51786768.0,47434251.0,34091798.0,197.47,76.71,70.26,50.5,87.96,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67508936.0,136447.2,15.77,46.09,2028.0187
United States,53534286.0,819055.0,158249.753,2421.163,1.68,28891.0,85.403,133263.0,393.931,,,117659.0,347.805,726359152.0,2155.384,0.26,58.8,521797692.0,244104717.0,210360591.0,77816104.0,157.16,73.52,63.36,23.44,71.76,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856.0,956015.6,17.14,40.11,2836.8616
United States Virgin Islands,9055.0,89.0,91024.236,894.661,,,,,,,,,,99536.0,994.455,0.406,333.3,,,,,,,,,,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,99479.0,,,,
Upper middle income,83640278.0,2200258.0,33112.781,871.071,,,,,,,,,,,,,,4204372021.0,1952724138.0,1805300168.0,214677998.0,166.45,77.31,71.47,8.5,,,,,,,,,,,,,,,,2525921300.0,,,,
Uruguay,410311.0,6168.0,119875.973,1802.036,1.57,,,,,,,,,4410719.0,1287.328,0.2701,92.0,6979515.0,2760147.0,2680675.0,1538693.0,203.91,80.64,78.32,44.95,75.93,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3422796.0,3592.4,6.41,70.02,1048.4886
Uzbekistan,198903.0,1485.0,5744.052,42.885,1.48,,,,,,,,,,,,,39036802.0,18056727.0,11102403.0,,112.73,52.15,32.06,,71.3,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34627648.0,38864.402,13.78,70.68,1140.3389
Vanuatu,7.0,,21.423,,,,,,,,,,,,,,,152711.0,102308.0,50403.0,,46.74,31.31,15.43,,22.22,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744.0,,,,
Vatican,26.0,,32178.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12,,808.0,,,,
Venezuela,444186.0,5321.0,15694.676,188.01,1.15,,,,,,,,,,,,,30049714.0,18393519.0,11608305.0,,106.18,64.99,41.02,,97.22,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700.0,,,,
Vietnam,1731257.0,32394.0,17632.268,329.922,2.02,,,,,,,,,74637039.0,765.759,0.111,77.2,150935915.0,77555511.0,68435813.0,,153.72,78.99,69.7,,79.17,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,,,,
Wales,,,,,,150.0,47.319,2009.0,633.754,,,912.0,287.697,,,,,6483034.0,2490591.0,2303258.0,1689185.0,204.51,78.57,72.66,53.29,,,,,,,,,,,,,,,,3170000.0,,,,
Wallis and Futuna,453.0,7.0,39065.195,603.656,,,,,,,,,,,,,,11939.0,6016.0,5923.0,,102.96,51.88,51.08,,,,,,,,,,,,,,,79.94,,11596.0,,,,
World,287186646.0,5478280.0,36010.39,686.923,1.5,,,,,,,,,,,,,9178681347.0,4558427062.0,3879604649.0,536336838.0,115.09,57.16,48.65,6.73,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024.0,,,,
Yemen,10126.0,1984.0,300.505,58.878,1.81,,,,,,,,,,,,,547019.0,331778.0,215241.0,,1.62,0.98,0.64,,37.96,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,,,,
Zambia,249193.0,3730.0,12448.652,186.335,2.43,,,,,,,,,2959116.0,151.959,0.3133,376.5,1730165.0,806611.0,1217415.0,,8.64,4.03,6.08,,60.19,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,,,,
Zimbabwe,211728.0,4997.0,12973.101,306.179,2.63,,,,,,,,,1707232.0,106.745,0.4415,139.6,7264791.0,4124378.0,3135168.0,5245.0,44.51,25.27,19.21,0.03,87.96,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,,,,
